                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.1665,                 1.2654,                 1.0136,                0.27809,                0.33264,                0.25921,                 0.1586,                 1.5299,                0.94275,                0.92659,               0.006931,               0.006931,               0.006931
                     96,                 1.1635,                 1.2543,                 1.0137,                0.25111,                 0.3416,                  0.259,                0.15857,                 1.5334,                0.94118,                 0.9284,               0.006898,               0.006898,               0.006898
                     97,                 1.1527,                 1.2549,                  1.012,                0.27346,                0.33684,                0.26117,                0.16009,                 1.5326,                0.94189,                0.92901,               0.006865,               0.006865,               0.006865
                     98,                  1.154,                 1.2585,                 1.0142,                0.25079,                0.33931,                 0.2595,                0.16246,                 1.5331,                0.94058,                0.92964,               0.006832,               0.006832,               0.006832
                     99,                 1.1583,                 1.2563,                 1.0139,                0.25957,                0.33731,                0.26187,                0.16371,                  1.529,                 0.9361,                0.92855,               0.006799,               0.006799,               0.006799
                    100,                 1.1589,                 1.2613,                 1.0168,                0.26912,                0.33418,                0.26357,                0.16483,                 1.5229,                0.93926,                0.92576,               0.006766,               0.006766,               0.006766
                    101,                 1.1561,                 1.2575,                 1.0132,                0.24931,                0.33217,                0.26562,                0.16305,                 1.5255,                0.93704,                0.92639,               0.006733,               0.006733,               0.006733
                    102,                 1.1492,                 1.2504,                 1.0123,                0.24617,                0.32998,                0.26644,                0.16412,                 1.5292,                0.93794,                0.92784,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.1518,                 1.2565,                 1.0129,                 0.2509,                0.33227,                0.26972,                0.16555,                 1.5331,                0.94015,                0.92796,               0.006667,               0.006667,               0.006667
                    104,                  1.167,                 1.2606,                 1.0137,                0.25447,                0.33151,                0.26814,                0.16428,                 1.5352,                0.94039,                0.92817,               0.006634,               0.006634,               0.006634
                    105,                 1.1568,                 1.2504,                 1.0148,                0.25449,                0.33189,                0.26823,                0.16459,                 1.5366,                0.93849,                0.92707,               0.006601,               0.006601,               0.006601
