                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1497,                 1.2303,                0.97555,                0.46945,                0.26203,                0.26046,                0.16794,                  1.463,                0.93263,                0.89272,               0.002278,               0.002278,               0.002278
                     81,                 1.1469,                  1.232,                0.97476,                0.67706,                0.20169,                0.25907,                0.16504,                 1.4624,                0.93444,                 0.8916,               0.002179,               0.002179,               0.002179
                     82,                 1.1498,                 1.2264,                0.97723,                0.63887,                  0.212,                0.25632,                0.16475,                 1.4646,                0.92964,                 0.8929,                0.00208,                0.00208,                0.00208
                     83,                 1.1468,                 1.2262,                0.97011,                 0.4454,                0.26327,                0.25453,                0.15653,                 1.4632,                0.92609,                0.89115,               0.001981,               0.001981,               0.001981
                     84,                 1.1429,                 1.2212,                0.96985,                0.46463,                0.26888,                0.22678,                0.13661,                 1.4603,                0.92929,                 0.8898,               0.001882,               0.001882,               0.001882
                     85,                 1.1458,                 1.2201,                0.96959,                0.48055,                0.26252,                0.22763,                0.13721,                 1.4601,                0.92961,                0.89084,               0.001783,               0.001783,               0.001783
                     86,                 1.1395,                 1.2111,                0.97125,                0.48965,                0.26626,                0.23044,                0.14198,                 1.4595,                0.92082,                0.89141,               0.001684,               0.001684,               0.001684
                     87,                 1.1438,                 1.2109,                0.97064,                0.45124,                0.26234,                0.26248,                0.16749,                 1.4614,                 0.9233,                0.89176,               0.001585,               0.001585,               0.001585
                     88,                 1.1358,                 1.2093,                0.96659,                0.48808,                0.26007,                0.23775,                 0.1475,                 1.4612,                 0.9229,                0.89175,               0.001486,               0.001486,               0.001486
                     89,                 1.1397,                 1.2073,                0.96897,                  0.437,                0.26863,                 0.2363,                0.14723,                 1.4591,                0.92017,                 0.8919,               0.001387,               0.001387,               0.001387
