                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.1113,                 1.1043,                 1.1695,                0.57295,                0.37549,                0.42458,                0.28832,                 1.3707,                0.83801,                 1.0828,               0.006337,               0.006337,               0.006337
                    114,                 1.1126,                 1.1109,                 1.1633,                0.57341,                0.37367,                  0.422,                0.28604,                 1.3714,                0.83697,                 1.0829,               0.006304,               0.006304,               0.006304
                    115,                 1.1187,                  1.099,                 1.1671,                0.56176,                0.35361,                0.42134,                 0.2845,                 1.3714,                0.83591,                 1.0823,               0.006271,               0.006271,               0.006271
                    116,                 1.1102,                 1.1043,                  1.165,                 0.5536,                0.38853,                0.39023,                 0.2554,                 1.3713,                0.83549,                 1.0821,               0.006238,               0.006238,               0.006238
                    117,                 1.1025,                 1.0992,                 1.1633,                 0.5629,                0.37043,                 0.4236,                0.28505,                 1.3693,                0.83639,                 1.0814,               0.006205,               0.006205,               0.006205
                    118,                 1.1057,                 1.0994,                 1.1653,                0.55881,                0.37123,                0.42492,                0.28599,                   1.37,                0.83618,                 1.0817,               0.006172,               0.006172,               0.006172
                    119,                  1.106,                 1.1012,                 1.1631,                0.54034,                0.35408,                 0.4187,                0.28124,                 1.3695,                0.83609,                  1.081,               0.006139,               0.006139,               0.006139
                    120,                 1.1118,                 1.1029,                 1.1674,                0.54623,                 0.3537,                0.38511,                0.25085,                 1.3698,                0.83478,                 1.0813,               0.006106,               0.006106,               0.006106
                    121,                 1.1046,                 1.0958,                 1.1641,                0.55519,                0.35351,                0.40993,                0.26988,                  1.369,                0.83398,                 1.0806,               0.006073,               0.006073,               0.006073
                    122,                 1.1176,                 1.1093,                 1.1657,                0.54819,                 0.3538,                0.41007,                0.27042,                 1.3688,                0.83415,                 1.0804,                0.00604,                0.00604,                0.00604
                    123,                 1.1025,                 1.0989,                 1.1587,                0.54375,                0.35408,                0.41173,                0.27146,                 1.3667,                0.83294,                 1.0797,               0.006007,               0.006007,               0.006007
                    124,                 1.1036,                 1.0884,                 1.1638,                0.55229,                 0.3538,                0.41113,                 0.2718,                 1.3653,                0.83122,                 1.0793,               0.005974,               0.005974,               0.005974
                    125,                 1.1078,                 1.0911,                  1.161,                0.54507,                 0.3537,                0.44586,                0.30327,                 1.3643,                 0.8295,                 1.0787,               0.005941,               0.005941,               0.005941
                    126,                 1.1108,                 1.0945,                 1.1653,                0.54762,                0.36798,                0.44747,                0.30323,                 1.3637,                 0.8285,                 1.0784,               0.005908,               0.005908,               0.005908
                    127,                 1.1024,                 1.1006,                 1.1657,                0.55331,                0.37602,                0.44665,                0.30278,                 1.3636,                0.82849,                 1.0784,               0.005875,               0.005875,               0.005875
                    128,                 1.1078,                 1.0889,                 1.1604,                0.55443,                0.38193,                0.44682,                0.30318,                 1.3632,                 0.8271,                 1.0783,               0.005842,               0.005842,               0.005842
                    129,                  1.104,                 1.0819,                   1.16,                0.55364,                 0.3868,                0.42105,                0.28316,                 1.3636,                0.82616,                 1.0781,               0.005809,               0.005809,               0.005809
                    130,                 1.0997,                   1.09,                 1.1594,                0.55731,                0.38663,                0.42017,                0.28264,                 1.3631,                0.82688,                 1.0778,               0.005776,               0.005776,               0.005776
                    131,                 1.1158,                 1.0835,                 1.1605,                0.55739,                0.37598,                0.44436,                0.30104,                 1.3625,                 0.8255,                 1.0777,               0.005743,               0.005743,               0.005743
                    132,                 1.1087,                 1.0942,                 1.1635,                0.55831,                0.36688,                0.44374,                0.30192,                 1.3615,                0.82625,                 1.0772,                0.00571,                0.00571,                0.00571
                    133,                 1.0999,                 1.0892,                  1.161,                0.55899,                  0.372,                0.44605,                0.30263,                 1.3614,                0.82553,                 1.0768,               0.005677,               0.005677,               0.005677
                    134,                 1.1048,                 1.0819,                 1.1581,                0.55878,                0.36545,                0.44413,                0.30161,                 1.3612,                  0.825,                 1.0765,               0.005644,               0.005644,               0.005644
                    135,                 1.0992,                 1.0865,                 1.1601,                 0.5554,                0.35629,                 0.4441,                0.30214,                  1.361,                 0.8247,                  1.076,               0.005611,               0.005611,               0.005611
                    136,                 1.1029,                 1.0769,                 1.1656,                0.55702,                 0.3491,                0.44225,                 0.3016,                 1.3616,                0.82455,                  1.076,               0.005578,               0.005578,               0.005578
                    137,                 1.1005,                 1.0754,                 1.1564,                0.55039,                0.35051,                 0.4428,                0.30234,                 1.3613,                0.82402,                 1.0761,               0.005545,               0.005545,               0.005545
                    138,                 1.1038,                 1.0817,                 1.1598,                 0.5533,                0.36753,                 0.4441,                0.30407,                 1.3607,                0.82434,                 1.0758,               0.005512,               0.005512,               0.005512
                    139,                  1.108,                 1.0686,                 1.1582,                0.55161,                  0.368,                0.44422,                0.30316,                 1.3605,                0.82384,                 1.0758,               0.005479,               0.005479,               0.005479
                    140,                 1.1034,                 1.0815,                 1.1589,                0.55091,                0.36751,                0.44486,                0.30357,                 1.3598,                0.82401,                 1.0758,               0.005446,               0.005446,               0.005446
                    141,                 1.0997,                 1.0783,                 1.1587,                0.54847,                0.35852,                0.44535,                0.30375,                 1.3599,                0.82313,                 1.0755,               0.005413,               0.005413,               0.005413
                    142,                 1.0951,                 1.0706,                 1.1531,                0.54774,                 0.3536,                0.44529,                0.30368,                 1.3597,                 0.8223,                 1.0756,                0.00538,                0.00538,                0.00538
                    143,                 1.0964,                 1.0695,                 1.1569,                0.54832,                0.35247,                 0.4455,                0.30407,                 1.3593,                0.82189,                 1.0757,               0.005347,               0.005347,               0.005347
                    144,                 1.0995,                 1.0682,                 1.1605,                 0.5488,                0.35244,                0.44456,                 0.3038,                  1.359,                0.82039,                 1.0756,               0.005314,               0.005314,               0.005314
                    145,                 1.0933,                 1.0688,                 1.1547,                0.55213,                0.34889,                0.44532,                 0.3048,                 1.3592,                0.82006,                 1.0755,               0.005281,               0.005281,               0.005281
                    146,                 1.0972,                 1.0669,                 1.1573,                 0.5516,                0.34928,                0.44627,                 0.3046,                 1.3592,                0.82023,                 1.0756,               0.005248,               0.005248,               0.005248
                    147,                 1.1068,                 1.0852,                  1.159,                0.55211,                0.34865,                0.44614,                0.30437,                  1.359,                0.81963,                 1.0754,               0.005215,               0.005215,               0.005215
                    148,                 1.0984,                 1.0625,                  1.156,                0.55131,                0.34879,                0.44649,                0.30507,                 1.3587,                0.81943,                 1.0754,               0.005182,               0.005182,               0.005182
                    149,                 1.0969,                 1.0651,                 1.1588,                0.54993,                0.34894,                0.44679,                0.30486,                 1.3584,                0.81905,                 1.0754,               0.005149,               0.005149,               0.005149
                    150,                 1.0979,                 1.0746,                 1.1569,                0.55017,                0.34884,                0.44783,                0.30597,                 1.3576,                0.81911,                 1.0754,               0.005116,               0.005116,               0.005116
